"nid","path","title","created","pictures","body","tags"
"3746","/nyhed/idraetsfagene-er-i-gang","Idrætsfagene er i gang","Fredag, 19. august 2016 - 12:34","sites/vih.local/files/linjer.png","Så er eleverne efterhånden rystet sammen med en masse introaktiviteter. Og nu er der også godt gang i idrætsfagene. Her nedenfor er et udpluk af idrætsfagene på idrætsblok 1 en torsdag eftermiddag i august.
  Video of Idrætsblok 1 på Vejle Idrætshøjskole d. 08. 18. 2016

",""
"3744","/nyhed/foraarskursus-med-paa-dgis-landsstaevne-2017","Forårskursus med på DGI's landsstævne 2017","Fredag, 12. august 2016 - 9:27","sites/vih.local/files/landsstaevne2_0.jpg","Forårskurset i 2017 afslutter vi på en helt særlig måde. Nemlig med deltagelse på DGI's Landsstævne i Aalborg, hvor hele forårsholdet rykker med på stævne.DGI's landsstævne er Danmarks største idrætsfestival, som afholdes hver fjerde år i en ny by.  29. juni - 2. juli 2017 er det Aalborg, der er værtsby. Her forventes over 25.000 deltagere til et væld af idrætsaktiviteter, fællesskab, fest og farver. Vejle Idrætshøjskole laver sin egen camp på festivallen og tilmelder egne hold til de forskellige aktiviteter, som du selv vælger.",""
"3742","/nyhed/velkommen-til-128-elever-vil-du-vaere-med","Velkommen til 128 elever - vil du være med?","Fredag, 12. august 2016 - 9:05","sites/vih.local/files/vandsport.jpg","Der er fuld fart på i disse dage, hvor vi har budt velkommen på efterårskurset 2016. Eleverne er i fuld gang med at lære hinanden, skolen og lærerne at kende. I dag venter flere introaktiviteter - bl.a. det store derby. Alle elever er også kommet i gang med 2 ud af de 4 idrætsfag, man kan vælge på forårssemestret. I formiddag venter kompetencelinjefaget.Hvis du er rigtigt hurtig, kan du også nå at være med på efterårskurset 2016. Skriv til Peter Sebastian på ps@vih.dkNedenfor er vandsporteleverne i gang.",""
"3743","/nyhed/velkommen-til-128-elever-vil-du-vaere-med-0","Velkommen til 128 elever - vil du være med?","Fredag, 12. august 2016 - 9:05","","Der er fuld fart på i disse dage, hvor vi har budt velkommen på efterårskurset 2016. Eleverne er i fuld gang med at lære hinanden, skolen og lærerne at kende. I dag venter flere introaktiviteter - bl.a. det store derby. Alle elever er også kommet i gang med 2 ud af de 4 idrætsfag, man kan vælge på forårssemestret. I formiddag venter kompetencelinjefaget.Hvis du er rigtigt hurtig, kan du også nå at være med på efterårskurset 2016. Skriv til Peter Sebastian her eller på ps@vih.dkNedenfor er vandsporteleverne i gang.",""
"3574","/nyhed/skolen-set-fra-luften","Skolen set fra luften","Mandag, 26. oktober 2015 - 10:47","sites/vih.local/files/g0090326.jpg, sites/vih.local/files/20150422-2k2a7301-143.jpg","Puha, der er sket meget på det seneste halve år. Ny bygning (den sorte) med danselokale,  fitnesslokale, spinninglokale, testcenter og undervisningslokaler. Ny kunstgræsbane, ny løbebane, ny multibane.Du kan se her, hvordan skolen ser ud fra luften med alle de nye faciliteter.Vi glæder os også til at vise dig alle de nye facilieteter, enten på en rundvisning for kommende elever eller til gl. elevfest for gamle elever. Eller måske på et sommerkursus til sommer. ",""
"3500","/nyhed/indvielse-af-ny-kunstgraesbane-og-loebebane","Indvielse af ny kunstgræsbane og løbebane","Mandag, 21. september 2015 - 11:45","sites/vih.local/files/kunstgraes.jpg","Vi er ved at lægge sidste hånd på den nye kunstgræsbane. I den forbindelse vil vi gerne invitere dig til indvielsen med nedenstående program.Officiel indvielse torsdag d. 8. oktober kl. 16.15Program for indvielsenKl. 16.15 Taler og snoren klippes! Kl. 16.30 1. halvleg Vejle Boldklub 1. div. Herre – AGF Superliga (Der spilles 2x30 min.) Kl. 17.00 Atletik Kl. 17.15 2. halvleg af fodboldkampen Kl. 17.45 Autografer og testning Kl. 18.00 Tak for i dag!",""
"3496","/nyhed/gratis-til-alsidig-foredragsraekke","Gratis til alsidig foredragsrække","Lørdag, 29. august 2015 - 7:59","","Endnu engang har vi en spændende, åben foredragsrække klar på Vejle Idrætshøjskole. Den tæller foredrag om idræt, rejseforedrag og musik med bl.a. Mathilde Falck, Erik Lindsø og skolens egne lærere. Foredragsrækken er tilrettelagt i samarbejde med FOF Vejle.Fra Lappland til KilimanjaroNogle af Idrætshøjskolens egne lærere fortæller om deres rejser. Jeanette Hovslagare fortæller om fjeldvandring i Lappland. Thomas Gejl tager dig med på sin rejse til bestigning af Kilimanjaro. Ann-Britt Nordby fortæller om at være høvding i Ghana.Bliv klogereMia Sørensen, der er ernæringsvejleder i EliteVejle, fortæller om, hvordan man kan optimere kosten. Jesper Dupont tager en psykologisk vinkel, når han fortæller om personlighedens positioner. Morten Lund tager brydetag med positiv psykologi i praksis. Anders Hasselstrøm diskuterer, om du træffer de rigtige valg. Erik Lindssø tager gennem fortællinger livtag med dødbideriet.Lidt for ørerneKristian Enevoldsen og Johannes Smed laver fællessang, som du aldrig har prøvet det før - og endelig holder Mathilde Falck en fortællekoncert.Du kan tilmelde dig foredragene på højskolens hjemmeside under vih.dk/foredrag.Bliv medlem af fonden og kom gratis indSom noget nyt i år bliver du inviteret gratis til skolens foredrag, hvis du er medlem af skolens fond.- Vi er en gammel skole, som hele tiden har brug for at følge med tiden, og vores faciliteter har stor betydning for, hvor attraktive vi er både for elever, kursister og lokalsamfundet. Vores fond er med til at sikre udviklingen af vores faciliteter, og vi er glade for, at vi gennem foredragsrækken kan invitere folk indenfor, udtaler forstander Ole Damgaard.Du tilmelder dig fonden, som giver ret til gratis adgang til foredragene på fond.vih.dk. Du skal dog stadig lige fortælle at du kommer til arrangementet, så højskolen kan sikre, at der er ordentlig plads.- Vi håber meget at lokalsamfundet vil bakke op om idrætsskolerne, så vi kan fremtidssikre vores dejlige sted på Ørnebjerget, siger Ole Damgaard.Tilmeld dig fonden på fond.vih.dk.",""
"3495","/nyhed/styrkerummet-tager-virkelig-form","Styrkerummet tager virkelig form","Fredag, 28. august 2015 - 21:08","","Gulvet er lagt, rapeauet bygget og vi er ved at flytte tingene ind i rummet.
    Så fandt din @watsongymequip maskine fra @performancegymaarhus nyt hjem på @vihdk i splinternyt træningsrum @casperjespersendk A post shared by Lars Olesen (@larssolesen) on Apr 13, 2015 at 7:18am PDT
Og sådan her ser det ud, når alle tingene er kommet ind i rummet.
    Så er der nye vægtstænger og -skiver på @vihdk fra #koklov A post shared by Lars Olesen (@larssolesen) on Jun 26, 2015 at 7:06am PDT
",""
"3486","/nyhed/det-lagde-jeg-saerligt-maerke-til","Det lagde jeg særligt mærke til","Onsdag, 5. august 2015 - 13:02","","Lige nu sidder vi til lærermøder på højskolen for at forberede efterårssemesteret. Vi nyder at kigge tilbage på nogle af udsagnene fra forårsholdet.
  Video of Most Significant Change fra foråret 2015

Du kan være med til at støtte fremtiden for sådan et dejligt sted på fond.vih.dk.","most significant change"
"3419","/nyhed/silver-globes-paa-vih","Silver Globes på VIH","Mandag, 2. marts 2015 - 10:42","sites/vih.local/files/img_8216.jpg, sites/vih.local/files/img_8928.jpg, sites/vih.local/files/img_8223.jpg","I sidste uge arbejdede eleverne hårdt for at indlevere film til dette års SIlver Globes på VIH. Der blev skrevet manuskript, filmet, skuespillet og klippet på livet løs. Og ikke mindst fedtet for Silver Globes juryen. Det blev nogle store produktioner og kulminationen blev årets Silver Globe awards i Globen i fredags.Se billeder Silver globe billeder 2015 på Facebook.Se alle Silver Globe film 2015 på Youtube.",""
"3410","/nyhed/blokdage-fitness-360","Blokdage Fitness 360","Onsdag, 25. februar 2015 - 10:27","sites/vih.local/files/20130420-2k2a7957-260-62_0.jpg","Mandag og tirsdag har vi kun haft vores sportsblok 1 fag hele dagen. På Fitness 360 har vi haft to hårde & intense træningsdage med masser af god træning. Vi startede ud med spinning, og en meget veloplagt Carl Johan fra Lido fitness sørgede for god stemning og syre i bentøjet.Efter en mini pause, hvor der blev tanket op med energi, var vi klar til body attack.Her blev fysikken sat på en hård prøve, og instruktøren Jannik fik os til at give den max gas med sin smittende og sprudlende energi. Dagen sluttede med velfortjent dejlig massage & gruppearbejde.Tirsdag blev der trænet i 2,5 time med elever som instruktører. Til inspirerende, høj pumpende musik og gode programmer, lavede vi boksetræning, cirkeltræning, pump og afslutningsvis udstrækning & afspænding.Eleverne på fitness 360 er på vej til deres livs form, og de har prøvet på at forberede og gennemføre forskellige træningsprogrammer. Ros til eleverne, som gik ind til dagene med stort engagement & højt aktivitetsniveau. ",""
"3392","/nyhed/outdoor-weekend-paa-vih","Outdoor weekend på VIH","Torsdag, 12. februar 2015 - 10:46","sites/vih.local/files/f14_venneweekend-128_0.jpg, sites/vih.local/files/20130820-2k2a4736-022.jpg, sites/vih.local/files/f14_venneweekend-032.jpg, sites/vih.local/files/img_4318_0.jpg","Den nye outdoorlinje fra Vejle Idrætshøjskole inviterer officielt alle interesserede til den ultimative weekend, der udelukkende vil stå i outdoors tegn.Programmet starter med ankomst lørdag den. 18. april, i tidsrummet 11-12. Herefter starter selve arrangementet kl 13.00. Arrangementet slutter søndag d. 19. april efter frokost.Glæd jer til et glædeligt gensyn eller et nyt bekendtskab med Nørreskoven, hvor du bl.a. kan opleve MTB, O-løb, klatring og bålhygge. Desuden vil der være mulighed for overnatning både indenfor og udenfor.TilmeldingDer vil være en egenbetaling på 50 kr for at deltage i weekenden, som dækker alle måltider. Alle, der er fyldt 18 år, kan være med. Efter tilmelding, og når vi nærmer os datoen, vil der komme et mere detaljeret program og yderligere praktiske oplysninger. Du kan se mere på vores Facebook begivenhed ""Outdoor Weekend på VIH"".Tilmelding er bindende og skal senest ske d. 8. april 2015 på Facebook begivenheden “Outdoor Weekend på VIH”. Hvis der er yderligere spørgsmål kan du kontakte os på outdoorvih@gmail.com.Vi glæder os til at se jer og lave en masse fede aktiviteter med jer.MVH. Outdoorlinjen på VIH.
  Video of Outdoor weekend på Vejle Idrætshøjskole

",""
"3387","/nyhed/aabent-hus-paa-vejle-idraetshoejskole-efter%C3%A5ret-2016","Åbent Hus på Vejle Idrætshøjskole","Mandag, 12. januar 2015 - 12:19","sites/vih.local/files/ki6a3410_nedskaleret.jpg","Hvorfor skal du tage på idrætshøjskole?Hvis du måske er interesseret i at gå på højskole, så vil vi rigtigt gerne møde dig på Vejle Idrætshøjskole.Både fordi vi gerne vil vise vores nye faciliteter frem og fordi det er en god måde at afstemme hinandens forventninger til et højskoleophold. I den nærmeste fremtid giver vi dig mulighed for at deltage i forskellige fælles rundvisninger og arrangementer, som kan gøre dig klogere på, hvordan livet er på Vejle Idrætshøjskole.Til nogle af arrangementerne vil det også være muligt at deltage aktivt i aktiviteter inden for vores fagpakker boldspil, fitness, outdoor og endurance. Her skal du huske sko og tøj til indendørs og udendørs idræt. Se datoer for åbent hus og tilmeld digTil arrangementerne kan du også:møde nuværende og måske kommende eleverse skolens faciliteterhøre mere om inspirationsfagenehøre mere om vores rejserhøre mere om vores 10 kompetencelinjer, bl.a.:Politiforberedende linjeUddannelsen som fitnessinstruktørForberedende linje til journalistuddannelsen (sportsjournalistik)Gratis tilmeldingArrangementerne og tilmelding er gratis. Tag eventuelt en ven med eller gør som mange andre - kom selv og mød andre, som måske også gerne vil på højskole.Se datoer og tilmeld dig åbent hus.Vi reserverer garanti for plads på næstkommende lange kursus til dem, der deltager i åbent hus arrangementet. Som deltager kan du også stadig opnå rabat ved tidlig tilmelding.Få mere at vide om højskolen. Ring til Peter Sebastian på 2929 6387 eller send en email til ps@vih.dk.Har du ikke mulighed for at være med på et af vores åbent hus arrangementer? Vi kan lave en rundvisning på et tidspunkt, der passer dig.",""
"3377","/nyhed/faa-pladser-til-januar","Få pladser til Januar","Torsdag, 18. december 2014 - 12:32","sites/vih.local/files/20130420-2k2a7957-260-62.jpg","Lige nu er stemningen på Vejle Idrætshøjskole følelsesladet. Vi er i gang med de to sidste dage af efterårskurset og eleverne giver den gas med de sidste aktiviteter. D. 7. januar starter vi nyt hold, med nye fag og nye faciliteter og du kan stadig nå at være med. Vi har få ledige pladser tilbage. Kontakt os via kontaktformularen eller ring til Peter Sebastian på 2929 6387.",""
"3376","/nyhed/tillykke-til-de-nye-instruktoerer","Tillykke til de nye instruktører","Torsdag, 18. december 2014 - 12:24","sites/vih.local/files/fitnessinstruktoerer.jpg","Hvert halve år udklækker Vejle Idrætshøjskole nye instruktører i flere fag, bl.a. fitnessinstruktør, step, spinning, kajak, klatring og flere boldspil. Fitnessinstruktørerne og step er netop blevet færdige og vi siger stort tillykke herfra med de nye titler.Nedenfor kan du se de nye fitnessinstruktører.",""
